run_id,family,target,paper_section,ndim,n_released,n_original,driver,spectrum_figure,path,known_issue
A2744QSO1B_m3,experiments/duplicate_reduction,A2744-QSO1_reduction-B,Section 4.4,14,32508,32508,fit_A2744QSO1B.py,spectrum.png,chains/experiments/duplicate_reduction/A2744-QSO1_reduction-B/chain.npy,
BMKP_UNCOVER_2c_smc_r300_ujy_xmask,experiments/dust_law_and_configuration_sweep,BMKP_UNCOVER_2c_smc_r300_ujy_xmask,Section 2.3,17,50000,65329,bmkp_fit_uncover_2c_smc_r300_ujy_xmask.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/BMKP_UNCOVER_2c_smc_r300_ujy_xmask/chain.npy,
BMKP_UNCOVER_2c_smc_r300_ujy_xmask_photcal,experiments/dust_law_and_configuration_sweep,BMKP_UNCOVER_2c_smc_r300_ujy_xmask_photcal,Section 2.3,17,50000,50830,bmkp_fit_uncover_2c_smc_r300_ujy_xmask_photcal.py,,chains/experiments/dust_law_and_configuration_sweep/BMKP_UNCOVER_2c_smc_r300_ujy_xmask_photcal/chain.npy,
CAPERS_1c_arch_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_1c_arch_ujy,Section 2.3,14,41321,41321,fit_capers_1c_arch_ujy.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_1c_arch_ujy/chain.npy,
CAPERS_1c_cz_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_1c_cz_ujy,Section 2.3,14,38373,38373,fit_capers_1c_cz_ujy.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_1c_cz_ujy/chain.npy,
CAPERS_1c_smc_mhfree_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_1c_smc_mhfree_ujy,Section 2.3,15,40346,40346,fit_capers_1c_smc_mhfree_ujy.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_1c_smc_mhfree_ujy/chain.npy,
CAPERS_1c_smc_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_1c_smc_ujy,Section 2.3,14,39880,39880,fit_capers_1c_smc_ujy.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_1c_smc_ujy/chain.npy,
CAPERS_2c_floor2k_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_floor2k_ujy,Section 2.3,17,50000,50223,fit_capers_2c_floor2k_ujy.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_2c_floor2k_ujy/chain.npy,
CAPERS_2c_freeav_n2k_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_freeav_n2k_ujy,Section 2.3,17,50000,77407,fit_capers_2c_freeav_n2k_ujy.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_2c_freeav_n2k_ujy/chain.npy,
CAPERS_2c_freeav_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_freeav_ujy,Section 2.3,17,48547,48547,fit_capers_2c_freeav_ujy.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_2c_freeav_ujy/chain.npy,
CAPERS_2c_h2omask_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_h2omask_ujy,Section 2.3,17,37035,37035,fit_capers_2c_h2omask_ujy.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_2c_h2omask_ujy/chain.npy,
CAPERS_2c_hotfloor_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_hotfloor_ujy,Section 2.3,17,44038,44038,fit_capers_2c_hotfloor_ujy.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_2c_hotfloor_ujy/chain.npy,
CAPERS_2c_neb_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_neb_ujy,Section 2.3,17,45857,45857,fit_capers_2c_neb_ujy.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_2c_neb_ujy/chain.npy,
CAPERS_2c_neb_ujy_long,experiments/dust_law_and_configuration_sweep,CAPERS_2c_neb_ujy_long,Section 2.3,17,46787,46787,fit_capers_2c_neb_ujy_long.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_2c_neb_ujy_long/chain.npy,
CAPERS_2c_noupw_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_noupw_ujy,Section 2.3,17,49328,49328,fit_capers_2c_noupw_ujy.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_2c_noupw_ujy/chain.npy,
CAPERS_2c_now_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_now_ujy,Section 2.3,17,39763,39763,fit_capers_2c_now_ujy.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_2c_now_ujy/chain.npy,
CAPERS_2c_prismR_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_prismR_ujy,Section 2.3,17,45689,45689,fit_capers_2c_prismR_ujy.py,,chains/experiments/dust_law_and_configuration_sweep/CAPERS_2c_prismR_ujy/chain.npy,
CAPERS_2c_prismR_ujy_long,experiments/dust_law_and_configuration_sweep,CAPERS_2c_prismR_ujy_long,Section 2.3,17,46312,46312,fit_capers_2c_prismR_ujy_long.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_2c_prismR_ujy_long/chain.npy,
CAPERS_2c_r300_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_r300_ujy,Section 2.3,17,46180,46180,fit_capers_2c_r300_ujy.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_2c_r300_ujy/chain.npy,
CAPERS_2c_smc_mhfree_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_smc_mhfree_ujy,Section 2.3,18,50000,51053,fit_capers_2c_smc_mhfree_ujy.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_2c_smc_mhfree_ujy/chain.npy,
CAPERS_2c_smc_neb_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_smc_neb_ujy,Section 2.3,17,46795,46795,fit_capers_2c_smc_neb_ujy.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_2c_smc_neb_ujy/chain.npy,
CAPERS_2c_smc_neb_ujy_long,experiments/dust_law_and_configuration_sweep,CAPERS_2c_smc_neb_ujy_long,Section 2.3,17,44268,44268,fit_capers_2c_smc_neb_ujy_long.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_2c_smc_neb_ujy_long/chain.npy,
CAPERS_2c_smc_nomask_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_smc_nomask_ujy,Section 2.3,17,49863,49863,fit_capers_2c_smc_nomask_ujy.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_2c_smc_nomask_ujy/chain.npy,
CAPERS_2c_smc_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_smc_ujy,Section 2.3,17,45165,45165,fit_capers_2c_smc_ujy.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_2c_smc_ujy/chain.npy,
CAPERS_2c_smc_warm_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_smc_warm_ujy,Section 2.3,17,37110,37110,fit_capers_2c_smc_warm_ujy.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_2c_smc_warm_ujy/chain.npy,
CAPERS_m3b_r300_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_m3b_r300_ujy,Section 2.3,14,41586,41586,fit_capers_m3_r300_ujy.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_m3b_r300_ujy/chain.npy,
CAPERS_m3b_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_m3b_ujy,Section 2.3,14,42683,42683,fit_capers_m3_ujy.py,spectrum.png,chains/experiments/dust_law_and_configuration_sweep/CAPERS_m3b_ujy/chain.npy,
RS_2c,experiments/dust_law_and_configuration_sweep,RS_2c,Section 2.3,17,50000,162645,fit_rs_m3.py,,chains/experiments/dust_law_and_configuration_sweep/RS_2c/chain.npy,
