run_id,family,target,paper_section,lnZ,lnZ_err,n_samples_original
A2744QSO1B_m3,experiments/duplicate_reduction,A2744-QSO1_reduction-B,Section 4.4,-77.2403,0.1094,32508
BMKP_UNCOVER_2c_smc_r300_ujy_xmask,experiments/dust_law_and_configuration_sweep,BMKP_UNCOVER_2c_smc_r300_ujy_xmask,Section 2.3,-231.992,0.185,65329
BMKP_UNCOVER_2c_smc_r300_ujy_xmask_photcal,experiments/dust_law_and_configuration_sweep,BMKP_UNCOVER_2c_smc_r300_ujy_xmask_photcal,Section 2.3,-108.876,0.159,50830
CAPERS_1c_arch_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_1c_arch_ujy,Section 2.3,-205.339,0.144,41321
CAPERS_1c_cz_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_1c_cz_ujy,Section 2.3,-202.840,0.133,38373
CAPERS_1c_smc_mhfree_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_1c_smc_mhfree_ujy,Section 2.3,-197.780,0.141,40346
CAPERS_1c_smc_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_1c_smc_ujy,Section 2.3,-195.773,0.144,39880
CAPERS_2c_floor2k_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_floor2k_ujy,Section 2.3,-170.018,0.162,50223
CAPERS_2c_freeav_n2k_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_freeav_n2k_ujy,Section 2.3,-167.037,0.118,77407
CAPERS_2c_freeav_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_freeav_ujy,Section 2.3,-168.394,0.156,48547
CAPERS_2c_h2omask_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_h2omask_ujy,Section 2.3,-73.316,0.129,37035
CAPERS_2c_hotfloor_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_hotfloor_ujy,Section 2.3,-165.657,0.149,44038
CAPERS_2c_neb_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_neb_ujy,Section 2.3,-165.005,0.151,45857
CAPERS_2c_neb_ujy_long,experiments/dust_law_and_configuration_sweep,CAPERS_2c_neb_ujy_long,Section 2.3,-165.234,0.152,46787
CAPERS_2c_noupw_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_noupw_ujy,Section 2.3,-111.275,0.157,49328
CAPERS_2c_now_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_now_ujy,Section 2.3,-100.126,0.139,39763
CAPERS_2c_prismR_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_prismR_ujy,Section 2.3,-165.318,0.152,45689
CAPERS_2c_prismR_ujy_long,experiments/dust_law_and_configuration_sweep,CAPERS_2c_prismR_ujy_long,Section 2.3,-165.454,0.154,46312
CAPERS_2c_r300_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_r300_ujy,Section 2.3,-167.715,0.152,46180
CAPERS_2c_smc_mhfree_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_smc_mhfree_ujy,Section 2.3,-171.639,0.161,51053
CAPERS_2c_smc_neb_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_smc_neb_ujy,Section 2.3,-166.133,0.153,46795
CAPERS_2c_smc_neb_ujy_long,experiments/dust_law_and_configuration_sweep,CAPERS_2c_smc_neb_ujy_long,Section 2.3,-163.752,0.147,44268
CAPERS_2c_smc_nomask_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_smc_nomask_ujy,Section 2.3,-505.354,0.161,49863
CAPERS_2c_smc_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_smc_ujy,Section 2.3,-165.167,0.152,45165
CAPERS_2c_smc_warm_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_smc_warm_ujy,Section 2.3,-108.021,0.128,37110
CAPERS_m3b_r300_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_m3b_r300_ujy,Section 2.3,-272.772,0.144,41586
CAPERS_m3b_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_m3b_ujy,Section 2.3,-274.678,0.142,42683
RS_2c,experiments/dust_law_and_configuration_sweep,RS_2c,Section 2.3,-2338.2339,0.1746,162645
RS_m3c_smc,experiments/dust_law_and_configuration_sweep,RS_m3c_smc,Section 2.3,-1500.5597,0.1421,104087
UNCOVER_1c_arch_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_arch_ujy,Section 2.3,-289.934,0.160,48230
UNCOVER_1c_arch_ujy_photcal,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_arch_ujy_photcal,Section 2.3,-145.791,0.155,46129
UNCOVER_1c_cool2600_cz_av3_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_cool2600_cz_av3_ujy,Section 2.3,-648.742,0.172,56427
UNCOVER_1c_cool2600_cz_neb_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_cool2600_cz_neb_ujy,Section 2.3,-696.299,0.177,56831
UNCOVER_1c_cool2600_cz_r300_av3_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_cool2600_cz_r300_av3_ujy,Section 2.3,-647.106,0.169,54757
UNCOVER_1c_cool2600_cz_r300_neb_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_cool2600_cz_r300_neb_ujy,Section 2.3,-701.356,0.173,54984
UNCOVER_1c_cool2600_cz_r300_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_cool2600_cz_r300_ujy,Section 2.3,-638.503,0.207,74337
UNCOVER_1c_cool2600_cz_ujy,experiments/dust_law_and_configuration_sweep,UNCOVER_1c_cool2600_cz_ujy,Section 2.3,-619.729,0.165,52233
