run_id,family,target,paper_section,teff_16,teff_50,teff_84,logg_16,logg_50,logg_84,logL_16,logL_50,logL_84,phi_16,phi_50,phi_84,cold_teff_50,cold_logg_50,cold_logL_50,cold_phi_50
A2744QSO1B_m3,experiments/duplicate_reduction,A2744-QSO1_reduction-B,Section 4.4,4463.19,4667.35,4771.5,-3.242,-2.46163,-1.77546,10.7182,10.7465,10.7756,19.8289,90.9209,449.085,,,,
BMKP_UNCOVER_2c_smc_r300_ujy_xmask,experiments/dust_law_and_configuration_sweep,BMKP_UNCOVER_2c_smc_r300_ujy_xmask,Section 2.3,4087.96,4094.06,4100.02,-3.38447,-3.27446,-3.18524,10.1377,10.142,10.1462,277.046,340.375,437.801,2013.28,-0.606681,8.93975,0.042966
BMKP_UNCOVER_2c_smc_r300_ujy_xmask_photcal,experiments/dust_law_and_configuration_sweep,BMKP_UNCOVER_2c_smc_r300_ujy_xmask_photcal,Section 2.3,3969.79,3988.49,4007.28,-3.3865,-3.31432,-3.23174,10.2087,10.2175,10.225,279.917,333.557,395.262,2021.93,-2.0477,8.95292,1.20456
CAPERS_1c_arch_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_1c_arch_ujy,Section 2.3,4438.6,4487.22,4509.26,-2.85456,-2.8098,-2.74762,10.1025,10.1284,10.151,143.316,166.663,186.109,,,,
CAPERS_1c_cz_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_1c_cz_ujy,Section 2.3,4352.93,4463.09,4505.61,-3.13923,-2.84053,-2.76049,10.0908,10.1232,10.1491,148.036,177.55,308.504,,,,
CAPERS_1c_smc_mhfree_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_1c_smc_mhfree_ujy,Section 2.3,4474.34,4511.18,4557.34,-3.38103,-3.16512,-2.96212,10.1688,10.1892,10.1991,245.273,386.776,636.808,,,,
CAPERS_1c_smc_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_1c_smc_ujy,Section 2.3,4537.56,4586.02,4628.19,-3.09271,-2.93937,-2.82153,10.169,10.1837,10.2001,189.331,247.609,351.863,,,,
CAPERS_2c_floor2k_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_floor2k_ujy,Section 2.3,4437.99,4479.59,4510.49,-2.82717,-2.74349,-2.6368,9.9863,10.0058,10.0261,113.246,142.145,170.976,2096.82,0.0902668,9.14692,0.0102603
CAPERS_2c_freeav_n2k_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_freeav_n2k_ujy,Section 2.3,4447.98,4489.61,4518.99,-2.84293,-2.76701,-2.66256,9.98859,10.014,10.0442,121.008,151.633,178.994,2105.72,-0.168307,9.15609,0.0189772
CAPERS_2c_freeav_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_freeav_ujy,Section 2.3,4433.7,4477.86,4510.15,-2.8301,-2.74619,-2.64936,9.97898,9.99891,10.0222,116.557,143.414,171.339,2106.96,0.00376176,9.16208,0.0127459
CAPERS_2c_h2omask_ujy,experiments/dust_law_and_configuration_sweep,CAPERS_2c_h2omask_ujy,Section 2.3,4237.64,4353.56,4478.76,-3.2187,-2.8706,-2.72357,10.0581,10.0919,10.1426,131.834,176.289,349.436,2365.02,-0.222668,8.74103,0.0330744
